@relation letter-weka.filters.unsupervised.attribute.RandomProjection-N10-R10-DSparse1-weka.filters.unsupervised.attribute.RandomProjection-N16-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
33,-18,48,78,-105,-96,-60,0,0,60,-54,63,-87,-96,-72,-21,S
-15,27,57,207,-207,-201,-138,-66,45,138,-30,81,-129,-75,-51,-60,R
45,-36,9,90,-57,-63,-60,-0,-45,63,-6,51,-99,-153,-39,-18,U
6,-3,72,159,-126,-135,-105,3,3,126,-33,78,-123,-87,-42,-27,P
27,-33,39,-9,-21,-51,0,27,-27,96,-42,3,-84,-27,-63,-21,P
45,-39,12,69,-39,-48,-48,15,-54,54,-12,48,-96,-144,-45,-15,U
39,-6,60,93,-72,-102,-78,18,-18,99,-12,48,-120,-105,-51,-12,P
33,-9,54,144,-135,-150,-120,-27,12,141,-9,66,-117,-120,-75,-60,Q
39,-18,27,42,-75,-81,-30,-9,-9,63,-42,27,-84,-75,-51,-9,V
-6,-36,66,150,-105,-99,-75,12,9,153,-57,72,-75,-33,-6,-21,Y
45,-18,81,93,-87,-102,-75,30,0,105,-42,63,-102,-96,-57,-3,A
3,-27,87,177,-120,-111,-102,30,3,120,-48,102,-108,-87,-21,-12,C
21,-27,72,84,-102,-90,-42,30,-6,78,-87,72,-99,-84,-60,6,P
42,-6,45,33,-39,-66,-33,18,-12,72,-21,18,-81,-69,-39,9,A
9,-18,36,9,-30,-54,-18,24,-30,72,-24,18,-96,-63,-84,-36,G
51,-45,15,-24,-3,-27,30,27,-51,60,-57,-6,-81,-39,-24,21,V
27,-30,75,144,-96,-114,-99,15,6,165,-24,66,-96,-75,-27,-27,C
12,-24,60,126,-93,-114,-78,-3,12,168,-24,42,-90,-30,-12,-30,U
6,-6,51,99,-96,-99,-66,3,-3,84,-39,57,-96,-69,-51,-24,H
-30,-18,39,39,-63,-57,-18,18,-15,60,-51,42,-84,-39,-81,-45,X
42,-33,54,9,9,-24,-12,69,-54,63,-36,27,-90,-66,-42,15,I
48,-15,12,99,-87,-90,-60,-18,-30,69,-36,48,-93,-132,-30,3,M
9,0,96,171,-144,-162,-120,9,12,150,-36,84,-147,-81,-54,-33,B
9,9,54,150,-165,-168,-102,-39,18,117,-39,66,-135,-90,-63,-42,G
21,-21,24,27,-60,-75,-3,-9,-9,102,-60,3,-72,-12,-27,-3,W
-15,-9,102,189,-162,-159,-123,6,33,162,-48,99,-123,-66,-57,-48,Z
-6,9,36,99,-111,-120,-66,-24,0,102,-36,42,-105,-66,-63,-39,N
-54,18,12,15,3,-12,-12,27,-42,12,9,18,-75,-54,-69,-39,L
-3,-3,57,195,-165,-156,-129,-42,42,144,-15,81,-93,-78,-30,-54,O
21,-36,42,3,-6,-36,12,48,-48,87,-57,9,-93,-18,-30,9,T
9,-9,33,144,-141,-117,-90,-30,9,63,-36,81,-93,-114,-48,-33,Y
-12,9,84,252,-219,-183,-153,-30,45,114,-51,132,-123,-132,-42,-30,R
6,-9,39,96,-114,-105,-54,-18,9,90,-60,51,-78,-54,-45,-21,R
48,-18,-18,12,-54,-69,-15,-36,-33,60,-24,-0,-81,-108,-66,-24,M
18,-18,69,123,-129,-117,-78,3,15,84,-51,78,-105,-87,-51,-18,E
3,-21,72,132,-135,-108,-66,12,12,84,-87,90,-90,-72,-42,-3,F
-36,-30,90,138,-93,-78,-78,54,-6,105,-60,102,-93,-54,-57,-39,Z
24,-6,60,105,-132,-129,-81,-12,15,75,-39,66,-114,-90,-72,-33,S
18,-3,33,51,-96,-105,-36,-12,-15,69,-51,33,-117,-84,-81,-24,G
-0,-12,60,78,-90,-114,-48,-6,18,150,-33,21,-99,-9,-39,-33,K
-57,-24,105,207,-129,-105,-120,51,3,129,-57,135,-105,-69,-54,-54,Z
21,-15,30,30,-60,-93,-9,-18,3,135,-39,-15,-84,12,-15,-9,W
6,0,93,180,-153,-162,-123,3,18,141,-36,90,-141,-87,-51,-33,B
15,3,87,168,-144,-156,-111,0,18,141,-36,78,-135,-96,-42,-15,P
75,-21,-0,-18,0,-27,-9,15,-57,12,-3,6,-87,-150,-66,9,H
6,-24,63,135,-120,-120,-69,-9,24,153,-54,54,-84,-30,-9,-15,X
6,9,51,132,-141,-147,-96,-30,15,99,-18,60,-129,-96,-66,-45,P
45,-15,9,96,-90,-93,-60,-24,-27,72,-33,45,-93,-129,-36,-6,M
24,-9,42,51,-54,-78,-54,21,-36,63,-15,42,-120,-111,-87,-33,Q
-39,-6,78,231,-180,-138,-114,-3,24,123,-84,126,-93,-87,-21,-15,K
-12,-15,69,69,-78,-84,-39,27,0,105,-54,48,-96,-45,-66,-24,X
96,-42,69,51,-51,-108,-63,9,12,177,3,3,-96,-57,-24,-9,J
-27,-12,57,102,-87,-78,-63,24,-12,66,-39,75,-99,-72,-69,-42,Z
6,6,57,87,-69,-81,-66,30,-27,51,-24,63,-117,-114,-69,-12,R
51,-45,-18,-27,-6,-24,12,-3,-54,36,-12,-6,-81,-102,-63,-24,U
-3,-39,36,57,-63,-57,-9,9,-3,105,-69,30,-54,-3,-15,-9,Y
-39,-3,36,114,-87,-81,-75,6,-21,75,-21,72,-99,-96,-81,-63,D
36,-6,69,123,-117,-129,-90,-3,15,123,-36,60,-102,-90,-45,-12,A
-3,-39,66,102,-75,-72,-42,33,-6,132,-75,60,-69,-24,-18,-6,T
12,3,54,90,-102,-126,-72,-6,-6,108,-24,42,-132,-81,-75,-39,E
-15,0,63,138,-126,-123,-84,6,-9,90,-51,81,-129,-84,-63,-33,B
51,-51,102,63,-39,-51,-45,96,-39,102,-84,81,-96,-108,-69,21,J
-33,-6,84,192,-141,-126,-120,18,6,108,-39,114,-120,-93,-57,-48,Z
15,-27,54,30,-48,-60,-18,33,-18,84,-54,33,-87,-51,-63,-12,D
-12,0,72,177,-156,-156,-126,-12,12,126,-27,93,-135,-96,-75,-66,I
27,-6,45,81,-105,-132,-75,-18,-6,120,-24,36,-126,-78,-84,-54,Y
18,-6,45,54,-51,-63,-48,30,-33,36,-21,51,-108,-114,-75,-15,R
12,-0,45,90,-93,-111,-78,-6,-9,90,-9,48,-120,-102,-81,-48,Q
9,-24,57,33,-45,-57,-18,39,-21,84,-57,36,-87,-51,-63,-9,D
24,-12,3,-12,-33,-66,9,-15,-30,99,-42,-21,-81,-33,-57,-18,W
36,-39,39,27,-39,-69,-12,9,-9,132,-36,0,-78,-15,-21,-9,U
42,-36,30,-9,-3,-33,21,36,-45,72,-51,-3,-87,-30,-15,27,Y
-3,12,66,162,-132,-147,-111,-12,9,126,-15,69,-132,-87,-45,-36,H
39,-27,54,48,-54,-81,-51,24,-21,105,-27,36,-102,-84,-75,-30,Q
21,-21,27,-3,-21,-36,-3,27,-36,39,-33,18,-84,-72,-69,-12,O
51,-15,87,132,-111,-129,-102,18,9,132,-36,72,-111,-102,-45,-6,A
-6,-30,54,0,-9,-33,3,54,-33,84,-48,18,-84,-6,-60,-21,I
60,-48,72,-3,-15,-57,-9,48,-9,141,-42,3,-78,-27,-45,3,J
-15,3,57,114,-96,-99,-72,12,-9,78,-33,66,-111,-75,-54,-27,R
36,-18,63,129,-102,-120,-93,6,-6,126,-24,63,-117,-102,-42,-21,O
-12,6,51,168,-147,-138,-93,-27,18,105,-36,72,-111,-75,-21,-21,U
30,-6,24,39,-87,-96,-24,-18,-12,66,-54,21,-99,-69,-60,-9,O
-72,39,78,198,-75,-93,-129,36,-9,111,21,90,-105,-72,-21,-36,L
-45,21,69,219,-180,-165,-126,-24,21,129,-48,102,-126,-81,-42,-42,K
12,-18,12,-21,-24,-42,36,12,-42,63,-75,-9,-81,-18,-42,12,W
24,-27,18,-6,-27,-39,21,24,-51,39,-66,12,-96,-57,-48,12,V
30,-9,42,105,-93,-102,-72,-3,-12,75,-21,54,-111,-105,-39,-12,O
39,-12,57,75,-57,-81,-60,30,-27,78,-24,48,-111,-102,-48,-0,P
0,-30,75,57,-63,-75,-36,39,-3,117,-54,45,-90,-30,-63,-27,Z
3,-27,72,132,-84,-108,-72,18,0,174,-36,48,-102,-21,-3,-18,Y
57,-51,-24,-111,45,21,69,24,-75,3,-36,-33,-66,-78,-78,-3,U
-15,18,87,213,-180,-186,-147,-18,24,132,-15,99,-162,-99,-57,-54,B
21,-9,27,63,-51,-57,-42,18,-39,36,-30,48,-93,-111,-51,-3,U
-27,3,69,228,-201,-165,-120,-30,33,120,-69,114,-114,-99,-30,-24,H
-3,6,78,273,-252,-204,-162,-57,66,114,-60,135,-111,-105,-18,-30,B
42,-36,33,-18,-6,-24,9,39,-36,51,-45,12,-69,-60,-54,6,O
-18,-9,75,201,-162,-156,-111,-24,42,177,-42,78,-99,-39,-6,-33,X
39,-27,30,72,-87,-108,-42,-33,18,141,-27,6,-75,-12,-3,-18,M
-36,12,87,180,-105,-114,-117,21,18,135,-9,84,-96,-54,-24,-33,L
-21,9,39,168,-171,-156,-87,-51,24,138,-72,66,-93,-48,-33,-33,W
21,-12,60,126,-81,-87,-87,30,-27,81,-30,81,-108,-132,-51,-9,P
27,-12,69,144,-111,-126,-105,6,-0,129,-21,72,-117,-108,-48,-27,O
9,-18,63,87,-51,-81,-66,36,-27,120,-15,48,-114,-81,-57,-30,C
51,-21,21,-75,9,-24,33,21,-24,39,-27,-27,-66,-42,-69,3,A
36,-24,42,36,-51,-69,-27,18,-21,78,-39,27,-93,-69,-51,-6,O
24,-33,30,-18,-18,-45,21,12,-9,102,-45,-18,-60,18,-24,-3,K
-3,12,60,192,-177,-165,-123,-36,27,132,-54,90,-102,-90,-48,-36,R
-30,-15,66,168,-111,-78,-102,36,-18,45,-45,126,-96,-126,-63,-36,S
18,-6,51,87,-84,-90,-63,12,-12,66,-33,57,-102,-93,-57,-15,B
27,-30,3,-45,-18,-33,48,0,-27,69,-72,-24,-54,-6,-39,9,W
-3,-21,42,66,-63,-78,-36,3,0,126,-33,24,-75,-24,-36,-30,U
27,-3,48,96,-120,-141,-81,-21,-3,114,-30,45,-132,-87,-81,-48,Y
18,-21,33,69,-63,-60,-45,24,-42,36,-42,63,-102,-123,-69,-15,Q
39,-30,81,108,-108,-120,-75,12,18,132,-39,57,-108,-66,-39,-15,L
24,-27,36,9,-48,-51,-21,24,-27,36,-42,39,-87,-90,-99,-33,S
15,0,33,63,-54,-57,-42,6,-3,54,-27,36,-51,-63,-27,3,A
21,-42,33,-39,-0,-27,30,36,-33,84,-54,-9,-72,-0,-54,-12,F
6,-33,57,117,-93,-105,-60,-0,9,162,-42,42,-87,-21,-9,-24,Y
51,-45,-12,-33,6,-15,15,12,-63,33,-18,-3,-81,-102,-66,-18,U
33,-27,54,6,-36,-54,0,39,-24,75,-63,21,-90,-54,-57,12,P
24,-21,66,45,-57,-72,-30,39,-18,87,-57,42,-99,-69,-63,-0,P
24,-21,36,60,-75,-72,-48,6,-12,48,-30,51,-87,-99,-69,-27,S
15,-21,9,-33,-24,-51,36,3,-39,90,-72,-21,-81,-9,-57,-6,W
0,-21,42,-12,-9,-39,-9,36,-27,69,-12,9,-90,-33,-84,-45,E
30,-12,60,99,-90,-105,-75,12,-9,99,-30,57,-111,-99,-57,-18,O
12,-9,75,153,-108,-114,-99,21,-6,108,-36,84,-114,-93,-33,-12,X
36,-15,54,84,-108,-105,-69,0,3,63,-42,63,-99,-99,-72,-24,S
-12,24,78,216,-207,-204,-150,-42,36,126,-21,99,-162,-111,-69,-60,K
36,-39,48,18,-18,-60,-18,24,-12,141,-18,-3,-78,-15,-30,-18,C
54,-36,36,-24,3,-45,3,24,-21,111,-18,-21,-72,-12,-33,-6,F
51,-39,36,-15,-3,-51,-3,18,-15,126,-12,-21,-72,-12,-33,-15,F
0,-9,111,183,-156,-150,-117,33,6,123,-66,117,-150,-117,-72,-21,Q
-24,12,114,231,-198,-198,-150,-3,36,168,-42,114,-165,-99,-66,-48,B
-15,-6,60,132,-99,-93,-87,24,-21,63,-27,90,-123,-123,-72,-36,G
48,-18,87,105,-90,-108,-87,36,-6,114,-39,72,-114,-123,-69,-6,A
60,-42,21,-102,39,-6,57,36,-36,57,-33,-45,-63,0,-48,9,F
-12,15,87,189,-162,-165,-126,-6,21,120,-27,93,-147,-96,-54,-36,R
27,-12,45,21,-51,-78,-33,6,0,99,-21,12,-81,-51,-72,-30,A
-6,-15,60,135,-141,-126,-66,-9,12,120,-81,72,-99,-57,-42,-18,H
-6,0,63,222,-219,-180,-129,-54,54,111,-60,108,-102,-81,-27,-36,B
3,-21,36,60,-54,-51,-33,27,-33,48,-45,54,-87,-90,-60,-15,O
-12,-24,42,33,-42,-36,-18,39,-30,33,-48,51,-81,-63,-75,-27,Z
45,-33,-3,-87,15,-15,60,15,-51,48,-60,-36,-66,-27,-63,6,W
42,-12,-9,-3,-9,-18,-3,15,-66,-6,-27,21,-78,-147,-69,9,N
30,-33,36,-12,-27,-48,12,21,-18,87,-54,0,-72,-21,-48,-3,H
-3,9,78,153,-129,-156,-114,-6,12,153,-15,63,-138,-63,-57,-51,C
66,-24,-3,15,-42,-57,-12,-12,-39,42,-33,9,-81,-105,-39,9,M
3,-6,60,114,-81,-90,-78,24,-18,87,-27,69,-108,-99,-54,-21,O
33,-54,72,-24,6,-27,21,72,-27,114,-66,6,-75,6,-42,9,I
18,12,75,225,-204,-198,-141,-54,60,156,-27,84,-120,-93,-9,-18,M
3,3,45,138,-150,-156,-81,-45,24,138,-45,45,-111,-39,-30,-33,A
39,-24,48,63,-66,-81,-51,15,-15,90,-30,42,-96,-99,-60,-15,O
18,9,39,42,-63,-96,-57,0,-18,69,6,24,-126,-102,-96,-45,R
27,-21,21,45,-72,-75,-24,-9,-15,69,-51,27,-78,-60,-45,-12,M
-0,-24,18,42,-60,-48,-6,6,-24,60,-75,36,-57,-51,-45,-6,N
33,-24,48,69,-60,-90,-36,6,-6,132,-33,15,-93,-24,-3,3,V
12,-30,78,45,-54,-78,-24,42,-6,138,-63,30,-93,-18,-51,-9,F
36,3,45,87,-63,-102,-81,3,-18,99,18,33,-123,-117,-54,-24,K
42,-27,18,-66,12,-15,33,33,-45,24,-36,-12,-78,-57,-75,0,P
9,-3,54,108,-102,-108,-84,3,-6,69,-15,66,-120,-102,-69,-39,B
-21,-36,51,123,-99,-78,-45,9,6,123,-78,66,-57,-18,-9,-15,Y
12,15,78,177,-153,-165,-129,-15,21,135,-21,81,-132,-111,-57,-33,A
-6,-9,42,93,-78,-87,-75,9,-21,96,-18,60,-102,-114,-93,-57,O
-15,-9,114,270,-204,-174,-168,3,48,144,-45,147,-120,-108,-30,-36,Q
21,3,45,57,-51,-78,-63,24,-36,63,-9,45,-117,-126,-93,-30,R
-3,-12,57,72,-69,-81,-54,27,-21,75,-30,54,-114,-75,-75,-36,E
-27,-3,81,174,-96,-108,-123,24,6,138,3,87,-102,-75,-42,-54,E
-9,-3,99,171,-132,-141,-114,18,21,156,-39,87,-117,-66,-48,-33,L
6,-3,30,72,-111,-108,-48,-27,6,75,-45,39,-93,-66,-69,-36,V
24,-42,42,21,-33,-57,-3,18,-9,129,-48,3,-66,3,-21,-9,Y
3,-21,12,-33,0,-12,18,30,-48,18,-33,9,-75,-63,-84,-24,D
21,-0,48,57,-87,-108,-54,-3,-6,75,-18,33,-126,-87,-81,-33,F
3,-6,42,99,-111,-135,-51,-36,21,168,-42,12,-96,9,-12,-27,W
39,-33,33,51,-45,-63,-12,18,-33,93,-54,21,-93,-57,-6,24,Y
36,-42,15,-105,51,18,81,57,-66,24,-63,-33,-72,-3,-45,27,T
45,-15,45,66,-87,-105,-48,-3,-9,99,-48,33,-102,-72,-48,-6,V
-6,-30,51,129,-114,-102,-57,-12,24,138,-60,54,-63,-12,0,-18,Y
15,-24,21,-9,-21,-36,9,21,-36,60,-51,9,-72,-45,-63,-12,N
15,-45,78,135,-78,-87,-69,33,3,168,-54,63,-72,-24,9,-3,Y
-33,-12,84,210,-147,-108,-126,33,-6,63,-60,147,-108,-120,-57,-36,S
42,-36,36,87,-66,-81,-39,9,-27,105,-45,36,-99,-66,0,12,V
3,-12,39,87,-93,-102,-39,-12,0,129,-63,30,-81,-21,-24,-12,W
27,-6,45,81,-78,-96,-69,-0,-6,90,-9,42,-102,-105,-63,-27,O
30,-42,30,-24,-6,-39,21,21,-21,111,-42,-18,-66,6,-33,-9,U
-24,-33,51,117,-90,-72,-45,15,0,117,-75,66,-57,-18,-15,-18,Y
33,-18,66,129,-99,-111,-93,15,-9,117,-30,72,-111,-117,-51,-18,O
15,-36,72,99,-96,-87,-45,24,9,108,-75,63,-78,-36,-21,3,T
-12,-24,96,168,-126,-129,-105,21,21,168,-45,87,-105,-45,-39,-42,Z
33,-36,102,129,-72,-87,-87,63,-9,147,-57,84,-87,-72,-30,3,J
-15,-18,66,141,-126,-93,-63,18,3,78,-90,96,-81,-75,-36,0,K
3,-3,84,144,-132,-150,-96,-6,30,162,-33,57,-117,-36,-36,-33,K
9,-9,78,165,-159,-150,-108,-12,30,120,-42,87,-117,-90,-51,-33,D
39,-33,93,138,-111,-126,-87,21,18,165,-48,66,-105,-60,-18,-3,S
33,-27,30,6,-36,-69,3,3,-15,108,-36,-12,-90,-15,-27,-3,V
24,0,48,96,-96,-117,-87,-6,-9,93,-6,51,-123,-114,-81,-45,Q
-3,-15,42,102,-78,-69,-45,21,-27,78,-72,66,-78,-75,-33,3,N
27,-45,90,36,-27,-66,-24,63,-12,159,-54,24,-90,3,-36,-6,I
12,-24,78,135,-123,-108,-78,24,0,102,-84,93,-93,-75,-48,-9,I
27,-27,36,48,-60,-87,-27,-12,9,135,-24,0,-75,-3,-12,-18,K
-72,30,51,114,-24,-39,-72,48,-33,57,12,63,-84,-63,-39,-30,L
30,-30,48,-6,-36,-57,3,27,-15,81,-54,9,-84,-24,-57,-6,B
18,-15,111,219,-156,-153,-144,18,33,153,-33,114,-117,-102,-21,-15,L
-33,12,84,189,-138,-141,-117,9,9,126,-33,93,-129,-66,-39,-36,K
123,-60,42,-51,15,-48,-12,36,-36,117,-3,-18,-90,-102,-78,-9,J
6,-12,12,3,-54,-66,24,-9,-24,78,-78,-6,-81,-9,-36,6,W
0,-21,42,-15,6,-27,-3,48,-39,66,-12,9,-93,-48,-81,-33,C
18,-33,30,36,-45,-69,-15,-3,-3,132,-30,-0,-69,-9,-21,-21,U
-36,-3,42,132,-93,-87,-63,9,-21,87,-42,69,-105,-75,-36,-24,U
-6,12,42,174,-153,-162,-108,-48,18,147,-21,57,-120,-75,-30,-42,M
24,-18,39,84,-72,-69,-54,18,-27,54,-42,63,-90,-117,-54,-6,O
-30,0,84,237,-177,-141,-135,3,21,108,-63,135,-102,-108,-33,-24,O
-0,-3,33,105,-87,-87,-66,-0,-21,69,-30,60,-99,-105,-54,-24,C
12,-6,36,54,-87,-93,-33,-9,-3,81,-54,30,-87,-48,-57,-18,R
15,-15,24,45,-93,-90,-12,-24,6,87,-69,18,-72,-33,-39,-6,M
6,-18,30,-15,-24,-39,-3,27,-33,30,-24,18,-96,-69,-96,-36,G
-15,-15,66,174,-126,-129,-93,-9,21,165,-39,66,-93,-24,3,-27,Y
9,-9,57,111,-105,-102,-69,9,-6,84,-54,69,-99,-81,-51,-15,B
9,-24,33,-36,3,-24,9,36,-30,48,-15,-0,-81,-36,-81,-33,E
54,-15,90,138,-114,-129,-105,21,9,126,-36,78,-114,-117,-45,0,A
33,-6,-3,42,-30,-33,-30,12,-63,3,-24,42,-84,-165,-63,6,N
15,6,57,90,-102,-123,-72,-9,9,102,-21,39,-114,-60,-57,-30,K
12,-15,84,177,-153,-132,-108,9,18,102,-60,108,-108,-114,-45,-12,G
30,-39,96,84,-69,-99,-57,42,9,168,-45,42,-99,-18,-30,-12,I
-3,21,42,177,-195,-189,-99,-63,21,144,-81,66,-120,-63,-42,-27,W
27,-24,60,21,-45,-60,-12,42,-24,78,-66,33,-93,-63,-66,6,P
33,-6,54,132,-147,-144,-78,-36,36,114,-45,51,-96,-63,-15,-3,M
-6,-21,51,84,-87,-75,-42,21,-15,66,-63,66,-93,-75,-60,-18,D
-9,-18,96,153,-129,-135,-87,18,21,171,-60,75,-114,-45,-39,-24,F
-12,9,84,255,-216,-189,-153,-33,45,123,-42,123,-132,-108,-24,-30,R
-3,-15,45,84,-96,-90,-33,-0,-0,108,-75,45,-78,-51,-42,-6,N
-9,-9,96,156,-129,-144,-96,12,24,168,-42,69,-123,-33,-33,-30,E
15,-18,51,177,-141,-153,-126,-30,9,171,-18,72,-111,-84,-45,-66,Y
-6,-9,96,156,-129,-138,-120,24,6,144,-36,96,-129,-99,-93,-60,Z
9,-9,69,156,-102,-105,-102,27,-21,96,-36,93,-117,-120,-45,-15,O
27,6,42,78,-57,-96,-66,3,-18,99,9,24,-117,-93,-42,-15,K
24,-9,36,60,-69,-72,-48,6,-12,45,-27,45,-84,-90,-57,-15,B
-6,-24,48,72,-81,-75,-39,12,-3,87,-57,51,-75,-39,-54,-30,T
-36,6,102,189,-114,-129,-123,27,21,168,-15,87,-111,-54,-33,-39,L
-6,3,66,174,-147,-150,-108,-21,24,141,-36,72,-108,-51,-24,-33,T
30,-42,75,-3,-12,-36,3,72,-30,93,-69,27,-84,-33,-60,9,J
6,-6,66,123,-132,-135,-81,-12,21,114,-39,60,-114,-60,-51,-33,B
-6,3,66,141,-150,-150,-96,-21,24,114,-36,69,-123,-66,-63,-48,X
-30,-15,57,129,-102,-87,-72,18,-9,84,-48,84,-96,-75,-57,-39,E
6,-30,96,198,-147,-129,-111,18,27,153,-72,108,-84,-60,-9,-9,T
-18,-12,60,105,-63,-90,-90,15,-0,141,15,48,-93,-54,-66,-75,E
-6,-9,69,162,-132,-111,-90,12,3,81,-57,99,-105,-105,-39,-9,O
36,-39,45,-6,0,-42,-3,36,-24,120,-24,-6,-75,-18,-39,-12,C
-18,-6,96,213,-159,-147,-141,15,15,123,-36,123,-129,-105,-57,-48,Z
57,-9,9,93,-111,-120,-69,-48,-6,78,-18,33,-102,-117,-39,-18,M
18,9,63,141,-165,-168,-111,-36,30,102,-21,69,-135,-102,-78,-51,S
3,-21,63,75,-69,-72,-45,36,-18,87,-57,60,-93,-72,-63,-15,D
15,-24,57,30,-48,-81,-18,18,-3,135,-42,6,-90,3,-39,-18,K
-21,-24,99,144,-75,-84,-81,66,-18,132,-57,90,-105,-36,-27,-15,I
18,-21,42,93,-96,-117,-57,-33,33,162,-15,12,-75,-3,-6,-33,K
-24,-6,42,69,-75,-81,-33,6,-9,93,-48,36,-90,-27,-51,-30,K
12,-27,90,138,-108,-99,-87,42,-3,96,-57,99,-108,-102,-54,-12,E
6,3,42,57,-66,-87,-57,9,-21,66,-9,39,-117,-99,-90,-42,R
30,-27,45,51,-42,-75,-24,21,-27,117,-39,15,-102,-30,-15,3,V
48,-39,-6,42,-42,-60,-42,-12,-48,72,3,24,-99,-144,-72,-45,U
-15,-12,78,102,-105,-105,-57,21,9,120,-63,63,-102,-51,-63,-24,X
51,-33,72,90,-84,-105,-57,18,3,138,-48,42,-99,-57,-21,6,S
-30,12,72,177,-150,-144,-108,-3,6,111,-51,93,-126,-72,-54,-39,L
18,-33,51,9,-36,-48,-3,39,-24,75,-60,27,-84,-45,-66,-9,D
42,-27,18,-66,12,-15,33,33,-45,24,-36,-12,-78,-57,-75,0,P
21,-12,48,48,-42,-60,-42,36,-36,48,-24,45,-108,-96,-66,-12,R
-27,0,48,162,-138,-117,-87,-12,3,96,-57,87,-96,-87,-45,-30,H
9,-30,105,117,-78,-90,-69,63,-6,141,-69,78,-99,-45,-36,0,J
60,-24,-3,33,-48,-54,-21,-6,-48,30,-39,27,-84,-129,-45,9,M
-6,-3,57,87,-87,-108,-63,3,0,120,-27,39,-108,-42,-60,-42,C
-3,3,45,87,-78,-93,-66,6,-15,69,-6,48,-120,-93,-66,-36,L
30,-12,33,51,-96,-108,-33,-21,0,93,-51,21,-99,-51,-54,-18,V
15,-33,63,24,-48,-66,-9,33,-6,117,-63,21,-81,-15,-51,-9,F
45,-18,54,24,-57,-81,-33,12,3,90,-27,18,-87,-63,-63,-12,A
-6,-33,39,6,-24,-48,9,33,-36,102,-57,9,-93,-3,-54,-24,Y
39,-39,27,63,-57,-63,-18,15,-39,75,-60,36,-96,-75,-12,18,V
63,-15,12,72,-84,-93,-51,-27,-15,63,-27,30,-87,-108,-27,3,M
-18,-12,39,162,-129,-96,-75,-6,-6,90,-81,93,-69,-90,-27,-9,N
-21,-18,42,132,-120,-90,-48,6,-18,63,-84,84,-102,-84,-33,-3,V
-6,-15,54,144,-99,-84,-84,24,-24,69,-45,96,-102,-126,-51,-18,O
36,-30,39,36,-36,-69,-12,18,-27,114,-42,6,-96,-27,-12,9,Y
33,-12,60,147,-135,-135,-105,-18,21,123,-30,72,-96,-105,-45,-27,O
-12,18,57,156,-123,-114,-99,-6,12,75,-30,81,-90,-87,-33,-15,A
6,-6,60,102,-93,-102,-78,15,-12,72,-21,66,-123,-93,-69,-36,B
75,-33,-21,-87,15,-15,42,-3,-51,18,-24,-36,-66,-81,-69,0,M
3,-33,60,111,-84,-90,-54,12,6,141,-48,48,-78,-18,-6,-15,Y
-30,6,81,183,-168,-141,-96,0,21,123,-87,105,-105,-99,-60,-15,N
-9,-12,60,111,-90,-78,-72,30,-18,45,-39,87,-105,-102,-66,-27,S
-3,6,69,165,-132,-120,-105,-0,18,96,-42,90,-87,-90,-36,-15,A
-18,-6,48,183,-144,-135,-105,-36,33,162,-36,69,-69,-45,-12,-42,U
9,-12,51,141,-129,-141,-72,-30,21,174,-57,39,-90,-9,3,-15,W
27,-24,21,-63,9,-18,27,33,-42,21,-24,-9,-87,-54,-87,-18,B
9,-18,99,150,-132,-129,-96,30,9,117,-60,96,-126,-87,-57,-18,E
-3,-15,63,180,-144,-123,-84,3,-3,102,-75,96,-114,-93,-12,6,V
9,-33,69,87,-39,-54,-27,63,-42,102,-72,54,-99,-33,3,30,T
-27,24,69,189,-183,-186,-129,-33,18,129,-30,87,-159,-96,-81,-66,V
-30,15,60,159,-111,-108,-102,12,-12,72,-21,90,-120,-105,-54,-33,D
-0,-30,27,-21,-18,-15,12,39,-39,6,-48,30,-75,-60,-90,-27,S
24,-24,33,6,-42,-69,-12,6,-15,96,-30,3,-90,-39,-66,-30,P
-75,39,57,165,-57,-69,-108,33,-21,75,24,81,-96,-87,-36,-39,L
-21,-6,54,150,-96,-87,-93,21,-21,78,-30,93,-102,-114,-54,-33,D
-3,-9,69,96,-102,-93,-48,24,-3,102,-87,69,-87,-81,-66,0,N
-0,9,75,180,-138,-153,-126,-6,9,135,-15,81,-135,-93,-45,-39,H
6,-24,12,-45,15,-3,27,36,-51,24,-33,-0,-69,-48,-75,-18,D
-15,-12,87,90,-54,-78,-63,51,-6,129,-30,54,-96,-33,-51,-27,L
0,-6,54,153,-138,-126,-90,-15,12,111,-60,78,-87,-63,-33,-24,L
6,-12,99,183,-165,-150,-117,12,24,111,-54,111,-132,-108,-57,-24,Q
24,-30,114,135,-96,-120,-90,48,12,183,-51,72,-111,-54,-36,-9,J
27,-30,33,21,-39,-63,0,9,-15,102,-45,0,-81,-9,-15,3,V
33,-33,45,33,-39,-75,-30,9,-3,135,-12,3,-84,-27,-36,-27,C
-15,9,39,162,-156,-147,-90,-42,15,117,-51,66,-105,-63,-33,-33,M
